"review,label																			",,,,,,,,,,,,,,,,,,,,,,,
"""Till season 7 very likely the best TV show ever made in terms of suspense, character development, plot, effects, acting.... 10/10 with no doubt! But S6E10 is probably the point where you should stop and imagine your own ending. It is guaranteed better and has more character development. Otherwise you may end up rating it down by more than just one and are overcome by disappointment..."",human																			",,,,,,,,,,,,,,,,,,,,,,,
"""It was a master piece. It was written to the perfection. It was mesmerizing. It was gripping. It was so shocking that if someone is binge watching this show he/she will need a time-off in between to get their head around things and accept some messed up, yet mind blowing development.																			",,,,,,,,,,,,,,,,,,,,,,,
"																			",,,,,,,,,,,,,,,,,,,,,,,
"But yet, I cant hate it enough after final season. Its like you came to know that you were in love with the wrong one all along. It was like looking at a completely different person. It was like seeing your own dreams and expectations get destroyed. It was not a let down, it was a BETRAYAL!"",human																			",,,,,,,,,,,,,,,,,,,,,,,
"z,human																			",,,,,,,,,,,,,,,,,,,,,,,
"""I'm feeling so heartbroken to see everyone criticising my favourite show of all time. And yes of course that's because of the bad making of the season finale, I can totally understand that. After all these years hardwork, creating and developing each and every character from bottom to top, memories, emotions throughout the process all went to vain for one bad making. It's so painful to accept it for the audience who invested	lots of time watch	ing the show	from the	starting and then finishing it	like this! It's	a	long	lo	ng	journey. I	don'	t e	ven	re	member	the	day	I sta	""rted watching it and since then I waited the next year to come for the new season. I can't say anything more. Only one last request"," could you please delete the whole season 8 and make a new version of it? Please?""""","human""",,,,,,,,,,,,,,,,,,,,,
"""As we prepare for the House of the Dragon, we look back on the brilliance that once was Game of Thrones. Seasons 1-6 are truly outstanding television, right up there with The Sopranos, Breaking Bad, Mad Men, The Wire, best of the best. Season 7 was a drop in quality but still somewhat enjoyable, and then came Season 8 which was a blunder of epic proportions. A Rushed, botched, lazy ending and a slap in the face to both new a	nd old fans alike.																		",,,,,,,,,,,,,,,,,,,,,,,
"																			",,,,,,,,,,,,,,,,,,,,,,,
"That being said, nothing can take away from the wild, brilliant, emotional ride that is Game of Thrones seasons 1-6, a television show that defined a decade and changed pop culture forever. I like to believe that it was cancelled after Season 6 and we never get to see the true ending ;)"",human																			",,,,,,,,,,,,,,,,,,,,,,,
"""The end ruined it all for me. It reminds me of lost, you can't judge it anymore without thinking of the ending and I wouldn't recommend it to my friends knowing how bad they handled it in the end. Wow just, wow I don't regret the ride, but I have never seen such a good show fall apart like this. I guess the checks have been cashed who cares about artistic integrity"",human																			",,,,,,,,,,,,,,,,,,,,,,,
"""Game of Thrones boasts an intricate plot with complex characters, stunning cinematography, and intense action sequences, especially its many battles and fights. It's hard to deny that it wasn't a cultural phenomenon that captivated me and many others for eight seasons.																			",,,,,,,,,,,,,,,,,,,,,,,
"																			",,,,,,,,,,,,,,,,,,,,,,,
"I've rated Game of Thrones a nine out of ten for its well-written and multi-layered storytelling, and its fantastic production value. However, despite still having amazing visuals and extremely high production value, like many fans, I was disappointed and to an extent frustrated by the final season's storytelling and how certain plot points were handled, which has lowered my rating from a ten to a nine. Despite this, Game of	Thrones still remai	ns for me a	must-watc	h series and I would still high	ly recommend it	to	any	fan	of	the fanta	sy or	dr	ama	ge	nre in	gene	ral.	""""""","hum""	an",,,,,,,,,,,,,,,,,,,,,,
"""You know a lot people say this about a ton of different shows but Game of Thrones is absolutely, without a doubt, one of the best TV shows ever created...it's damn near perfect (except for maybe the last few episodes of the last season) and easily one of my all-time favorite shows! Yeah, the last few episodes of Season 8 weren't that good and the ending was just awful but the first 7 1/2 seasons were so amazing that it still	gets a 10 from me!	It's one of	the rare	shows where I can watch it all	the way from th	e	first	ep	iso	de to the	last	and	ne	ver	get b	ored.	I'm	pret	""ty sure there's never been a show more talked about or more loved in the history of television than GOT. All you have to do is read through the reviews to see how loved this show really is! It's absolutely amazing.""""","human""",,,,,,,,,,,,,,,,,,,,,,
"""Was over-time on a gradual binge of watching 'Game of Thrones' from the first episode (gradual because of being so busy), having heard nothing but amazing things about it from friends, family and IMDb reviewers. Plus with such a great cast of talent and a brilliant book series, how could it possibly go wrong?																			",,,,,,,,,,,,,,,,,,,,,,,
"																			",,,,,,,,,,,,,,,,,,,,,,,
"The good news is that 'Game of Thrones' didn't go wrong. Quite the opposite. Not only is it a rare television show that does its original source material justice and treats it with respect but it is on its own merits one of the finest, most addictive and consistently compelling shows in recent years. A television show so brilliant that one has to actually check that it was made for television when everything is done to such a	high level that it	puts many f	ilms made	today to shame. This is one of	the strongest e	xa	mples	of	an	acclaimed	show	th	at	des	erves	every	oun	ce of	the praise it's garnered.",,,,,,,,,,,,,,,,,,,,,,,
"																			",,,,,,,,,,,,,,,,,,,,,,,
"Visually, 'Game of Thrones' looks amazing. The scenery is throughout spectacular, the sets are hugely atmospheric and beautiful on the eyes with a real meticulous eye for detail and the costumes suit the characters to a tee. Then there are the special effects that are some of the best of any television programme and are not overused or abused, the scale, the detail and how they actually have character and soul are better than	those in a lot of	the big-budg	et blockb	usters. As well the cinematogra	""phy and editing","	w	hich	are	ci	nematic qu	ality	as	we	ll.					
																			
One cannot talk about 'Game of Thrones' without mentioning the thematically", orchestrally and atmospherically multi-layered music scoring and the unforgettable main theme. Again," worthy of a high-budget fantasy/action/drama film.""																			",,,,,,,,,,,,,,,,,,,,
"																			",,,,,,,,,,,,,,,,,,,,,,,
"It is hard not to be bowled over by the quality of the writing, outstanding isn't a strong enough adjective to describe how good the writing is. It always has a natural flow, is layered and thought-provoking and demonstrates a wide range of emotions such as suspenseful tension, poignant pathos and witty humour. The story-lines are paced so beautifully, structured with such nuance and attention to coherence, a high emotional l	evel and touch upon	complex and	sensitiv	e themes with intelligence and	tact.														",,,,,,,,,,,,,,,,,,,,,,,
"																			",,,,,,,,,,,,,,,,,,,,,,,
"Whenever there's a set-piece or more action-oriented scene there's always a reason, never there for the sake of it. Not only are the set-pieces done with a lot epic scale, superb staging, excitement and dramatic tension but underneath all the scale and flashy attention to detail there is a lot of heart and a multi-layered one. They're not overlong, nor are there out of place elements.																			",,,,,,,,,,,,,,,,,,,,,,,
"																			",,,,,,,,,,,,,,,,,,,,,,,
"Characters are a huge part of the appeal too. 'Game of Thrones' has characters that are so well developed and as close to real life as one can get despite being in a fantasy world. These characters are not hero and villain archetypes (Joffrey is the only one close to that, the difference though is that he is an extremely interesting one with a lot of development who ranks well beyond one hundred percent on the threat level sc	""ale)"," they have muc""	h more to th	em and ha	ve strengths and flaws. Decisio	ns are logical a	nd	one	doe	sn'	t like any	char	act	er	any	less	when	a de	cisio	n is not the right one because mistakes are acknowledged and learnt from.",,,,,,,,,,,,,,,,,,,,,,
"																			",,,,,,,,,,,,,,,,,,,,,,,
"'Game of Thrones' cast is full of talented names and, thanks to so well rounded characters and such great writing, nothing but the very best is gotten out of them. Even those who are not favourites of mine. Big acting standouts are Peter Dinklage, Sean Bean, Lena Headey and Jack Gleeson (Joffrey being the king of all young characters with not a redeeming bone in their body).																			",,,,,,,,,,,,,,,,,,,,,,,
"																			",,,,,,,,,,,,,,,,,,,,,,,
"In conclusion, absolutely outstanding and a rare television show worthy of being a cinematic modern classic. This review may sound superlatively hyperbolic, but to me 'Game of Thrones' is that good. 10/10 Bethany Cox"",human																			",,,,,,,,,,,,,,,,,,,,,,,
"""So imagine you go into an ice cream shop and you order a sundae. They've got all kinds of nice stuff going on, beautiful delicious soft serve vanilla bean ice cream, some hot fudge, freshly cracked up peanuts, woah what is that?? A brownie? Some delicious house made whipped cream... Man this sundae is gonna be spectacular. Wow what more could you ask for? Cherry on top? Bring it on!!																			",,,,,,,,,,,,,,,,,,,,,,,
"																			",,,,,,,,,,,,,,,,,,,,,,,
"And then all of a sudden they put an anchovy on top, and then another, and then a couple more, and then squirt some Dijon mustard on for good measure.																			",,,,,,,,,,,,,,,,,,,,,,,
"																			",,,,,,,,,,,,,,,,,,,,,,,
"You don't even want the sundae anymore, in fact, you can't even look back on how nice that sundae used to be without thinking about all the stupid s*** they did at the very end just when it was going so well.																			",,,,,,,,,,,,,,,,,,,,,,,
"																			",,,,,,,,,,,,,,,,,,,,,,,
"That's essentially Game of Thrones. I tried to rewatch it, but as I got through the first season I began looking at where all the pieces land at the end it's literally impossible to go back to. There are just so many ruined character arcs, so much pointlessness, and every time I come back here I drop it one more star it seems like. Game of Thrones is a beautiful anchovy sundae."",human																			",,,,,,,,,,,,,,,,,,,,,,,
"""What can be said about Game of Thrones that hasn't already been said? It's universally thought of as one of the best series in the history of television. Look up any """"best shows ever"""" list and I promise you'll find Game of Thrones near the top of every list you'll find. Obviously everyone knows the last episode was absolutely awful, even most of the actors have come out and said they didn't like it. Having said that, it do	esn't take away fro	m the show b	eing amaz	ing. One bad show doesn't take	away from the ot	he	r 72	epi	sod	es that we	re al	mos	t p	erf	ect! I	've w	atch	ed th	""e entire series all the way through twice now and if anything I just appreciate this show even more.""""","human""",,,,,,,,,,,,,,,,,,,,,,
"""This is the first series i would recommend to anybody , it is an amazing piece of work , the most stunning TV series you will ever watch. Why i gave it 9/10 because of the last season, it's still good but very disappointing compared to all the seasons. YOU will enjoy every episode"",human																			",,,,,,,,,,,,,,,,,,,,,,,
"""Season 1-4 were practically perfect, there is not much to say. It had so many great moments, so many great episodes there. But then... well the writers kinda ran out of books to adapt. Season 5 and 6 were pretty boring most of the time. But they truly had their moments even having some of the best episodes of the show. Season 7 you could really see the dip in quality. Everything just felt so rushed most of it was really stup	id. And then ofc. S	eason 8 the	biggest d	isapointment I have ever seen.	I have never see	n	anyth	ing	mo	re terribl	e. Th	e e	ndi	ng	was th	e stu	pide	st th	""ing i have ever seen. All of the characters were just so stupid. Everything felt even more rushed. And all the characters were basically ruined because of the writing. Overall i still give it a 9/10 just because of the first half of the show. And ofc it did still have its moments. I would still consider this show a masterpiece and I would 100% recomend. It is truly a must watch show.""""","human""",,,,,,,,,,,,,,,,,,,,,,
"A series like never seen before which rocked last season on a flop! congratulations anyway,human																			",,,,,,,,,,,,,,,,,,,,,,,
